Timestamp,7501_TDB
1982-06-12 23:00:00,0.0
1982-06-13 23:00:00,3.298
1982-06-14 23:00:00,0.0
1982-06-15 23:00:00,4.67
1982-06-16 23:00:00,0.0
1982-06-17 23:00:00,3.574
1982-06-18 23:00:00,7.446
1982-06-19 23:00:00,3.69
1982-06-20 23:00:00,3.845
1982-06-21 23:00:00,3.261
1982-06-22 23:00:00,3.119
1982-06-23 23:00:00,4.27
1982-06-24 23:00:00,3.859
1982-06-25 23:00:00,2.745
1982-06-26 23:00:00,3.854
1982-06-27 23:00:00,16.913
1982-06-28 23:00:00,13.627
1982-06-29 23:00:00,0.0
1982-06-30 23:00:00,8.388
1982-07-01 23:00:00,5.422
1982-07-02 23:00:00,4.431
1982-07-03 23:00:00,5.475
1982-07-04 23:00:00,2.972
1982-07-05 23:00:00,3.787
1982-07-06 23:00:00,4.658
1982-07-07 23:00:00,0.0
1982-07-08 23:00:00,0.0
1982-07-09 23:00:00,0.0
1982-07-10 23:00:00,0.0
1982-07-11 23:00:00,0.0
1982-07-12 23:00:00,0.0
1982-07-13 23:00:00,0.0
1982-07-14 23:00:00,0.0
1982-07-15 23:00:00,2.95
1982-07-16 23:00:00,0.0
1982-07-17 23:00:00,0.0
1982-07-18 23:00:00,2.748
1982-07-19 23:00:00,0.0
1982-07-20 23:00:00,0.0
1982-07-21 23:00:00,0.0
1982-07-22 23:00:00,0.0
1982-07-23 23:00:00,0.0
1982-07-24 23:00:00,0.0
1982-07-25 23:00:00,0.0
1982-07-26 23:00:00,0.0
1982-07-27 23:00:00,0.0
1982-07-28 23:00:00,0.0
1982-07-29 23:00:00,0.0
1982-07-30 23:00:00,0.0
1982-07-31 23:00:00,5.835
1982-08-01 23:00:00,4.622
1982-08-02 23:00:00,0.0
1982-08-03 23:00:00,0.0
1982-08-04 23:00:00,7.113
1982-08-05 23:00:00,0.0
1982-08-06 23:00:00,0.0
1982-08-07 23:00:00,5.238
1982-08-08 23:00:00,0.0
1982-08-09 23:00:00,1.924
1982-08-10 23:00:00,3.086
1982-08-11 23:00:00,0.0
1982-08-12 23:00:00,0.0
1982-08-13 23:00:00,0.0
1982-08-14 23:00:00,0.0
1982-08-15 23:00:00,0.0
1982-08-16 23:00:00,2.517
1982-08-17 23:00:00,5.787
1982-08-18 23:00:00,3.268
1982-08-19 23:00:00,3.357
1982-08-20 23:00:00,7.727
1982-08-21 23:00:00,0.0
1982-08-22 23:00:00,0.0
1982-08-23 23:00:00,4.656
1982-08-24 23:00:00,0.0
1982-08-25 23:00:00,3.036
1982-08-26 23:00:00,3.487
1982-08-27 23:00:00,0.0
1982-08-28 23:00:00,3.607
1982-08-29 23:00:00,4.244
1982-08-30 23:00:00,3.254
1982-08-31 23:00:00,2.196
1982-09-01 23:00:00,3.504
1982-09-02 23:00:00,1.658
1982-09-03 23:00:00,0.0
1982-09-04 23:00:00,0.0
1982-09-05 23:00:00,0.0
1982-09-06 23:00:00,3.288
1982-09-07 23:00:00,0.0
1982-09-08 23:00:00,0.0
1982-09-09 23:00:00,4.909
1982-09-10 23:00:00,0.0
1982-09-11 23:00:00,0.0
1982-09-12 23:00:00,0.0
1982-09-13 23:00:00,0.0
1982-09-14 23:00:00,0.0
1982-09-15 23:00:00,0.0
1982-09-16 23:00:00,0.0
1982-09-17 23:00:00,0.0
1982-09-18 23:00:00,0.0
1982-09-19 23:00:00,0.0
