Date,Time,Value[mNAP],State of value
1988-05-14,00:00:00,0.469,40
1988-05-15,00:00:00,0.494,40
1988-05-16,00:00:00,0.509,40
1988-05-17,00:00:00,0.572,40
1988-05-18,00:00:00,0.588,40
1988-05-19,00:00:00,0.502,40
1988-05-20,00:00:00,0.510,40
1988-05-21,00:00:00,0.483,40
1988-05-22,00:00:00,0.408,40
1988-05-23,00:00:00,0.394,40
1988-05-24,00:00:00,0.507,40
1988-05-25,00:00:00,0.486,40
1988-05-26,00:00:00,0.529,40
1988-05-27,00:00:00,0.611,40
1988-05-28,00:00:00,0.656,40
1988-05-29,00:00:00,0.676,40
1988-05-30,00:00:00,0.660,40
1988-05-31,00:00:00,0.408,40
1988-06-01,00:00:00,0.511,40
1988-06-02,00:00:00,0.566,40
1988-06-03,00:00:00,0.525,40
1988-06-04,00:00:00,0.532,40
1988-06-05,00:00:00,0.622,40
1988-06-06,00:00:00,0.455,40
1988-06-07,00:00:00,0.473,40
1988-06-08,00:00:00,0.513,40
1988-06-09,00:00:00,0.508,40
1988-06-10,00:00:00,0.474,40
1988-06-11,00:00:00,0.563,40
1988-06-12,00:00:00,0.462,40
1988-06-13,00:00:00,0.461,40
1988-06-14,00:00:00,0.542,40
1988-06-15,00:00:00,0.666,40
1988-06-16,00:00:00,0.490,40
1988-06-17,00:00:00,0.435,40
1988-06-18,00:00:00,0.432,40
1988-06-19,00:00:00,0.397,40
1988-06-20,00:00:00,0.429,40
1988-06-21,00:00:00,0.444,40
1988-06-22,00:00:00,0.546,40
1988-06-23,00:00:00,0.498,40
1988-06-24,00:00:00,0.474,40
1988-06-25,00:00:00,0.465,40
1988-06-26,00:00:00,0.464,40
1988-06-27,00:00:00,0.465,40
1988-06-28,00:00:00,0.515,40
1988-06-29,00:00:00,0.539,40
1988-06-30,00:00:00,0.516,40
1988-07-01,00:00:00,0.573,40
1988-07-02,00:00:00,0.586,40
1988-07-03,00:00:00,---,40
1988-07-04,00:00:00,---,255
1988-07-05,00:00:00,---,255
1988-07-06,00:00:00,---,255
1988-07-07,00:00:00,---,255
1988-07-08,00:00:00,---,255
1988-07-09,00:00:00,---,255
1988-07-10,00:00:00,---,255
1988-07-11,00:00:00,---,255
1988-07-12,00:00:00,---,255
1988-07-13,00:00:00,---,255
1988-07-14,00:00:00,---,255
1988-07-15,00:00:00,---,255
1988-07-16,00:00:00,---,255
1988-07-17,00:00:00,---,255
1988-07-18,00:00:00,---,40
1988-07-19,00:00:00,0.645,40
1988-07-20,00:00:00,0.468,40
1988-07-21,00:00:00,0.392,40
1988-07-22,00:00:00,0.430,40
1988-07-23,00:00:00,0.507,40
1988-07-24,00:00:00,0.574,40
1988-07-25,00:00:00,0.593,40
1988-07-26,00:00:00,0.505,40
1988-07-27,00:00:00,0.709,40
1988-07-28,00:00:00,0.666,40
1988-07-29,00:00:00,0.719,40
1988-07-30,00:00:00,0.731,40
1988-07-31,00:00:00,0.697,40
1988-08-01,00:00:00,0.619,40
1988-08-02,00:00:00,0.470,40
1988-08-03,00:00:00,0.431,40
1988-08-04,00:00:00,0.518,40
1988-08-05,00:00:00,0.560,40
1988-08-06,00:00:00,0.503,40
1988-08-07,00:00:00,0.486,40
1988-08-08,00:00:00,0.477,40
1988-08-09,00:00:00,0.507,40
1988-08-10,00:00:00,0.541,40
1988-08-11,00:00:00,0.580,40
1988-08-12,00:00:00,0.586,40
1988-08-13,00:00:00,0.589,40
1988-08-14,00:00:00,---,255
1988-08-15,00:00:00,---,40
1988-08-16,00:00:00,0.550,40
1988-08-17,00:00:00,0.463,40
1988-08-18,00:00:00,0.328,40
1988-08-19,00:00:00,0.412,40
1988-08-20,00:00:00,0.548,40
1988-08-21,00:00:00,0.627,40
1988-08-22,00:00:00,0.684,40
1988-08-23,00:00:00,0.528,40
1988-08-24,00:00:00,0.454,40
1988-08-25,00:00:00,0.624,40
1988-08-26,00:00:00,0.671,40
1988-08-27,00:00:00,0.565,40
1988-08-28,00:00:00,0.511,40
1988-08-29,00:00:00,0.631,40
1988-08-30,00:00:00,0.580,40
1988-08-31,00:00:00,0.511,40
1988-09-01,00:00:00,0.491,40
1988-09-02,00:00:00,0.530,40
1988-09-03,00:00:00,0.624,40
1988-09-04,00:00:00,0.632,40
1988-09-05,00:00:00,0.600,40
1988-09-06,00:00:00,0.577,40
1988-09-07,00:00:00,0.447,40
1988-09-08,00:00:00,0.362,40
1988-09-09,00:00:00,0.396,40
1988-09-10,00:00:00,0.497,40
1988-09-11,00:00:00,0.509,40
1988-09-12,00:00:00,0.587,40
1988-09-13,00:00:00,0.867,40
1988-09-14,00:00:00,0.870,40
1988-09-15,00:00:00,0.683,40
1988-09-16,00:00:00,0.595,40
1988-09-17,00:00:00,0.614,40
1988-09-18,00:00:00,---,40
1988-09-19,00:00:00,---,40
1988-09-20,00:00:00,0.410,40
1988-09-21,00:00:00,0.402,40
1988-09-22,00:00:00,0.407,40
1988-09-23,00:00:00,0.514,40
1988-09-24,00:00:00,0.765,40
1988-09-25,00:00:00,0.767,40
1988-09-26,00:00:00,0.681,40
1988-09-27,00:00:00,0.760,40
1988-09-28,00:00:00,0.666,40
1988-09-29,00:00:00,0.785,40
1988-09-30,00:00:00,0.755,40
1988-10-01,00:00:00,0.527,40
1988-10-02,00:00:00,0.377,40
1988-10-03,00:00:00,0.359,40
1988-10-04,00:00:00,0.323,40
1988-10-05,00:00:00,0.374,40
1988-10-06,00:00:00,0.542,40
1988-10-07,00:00:00,0.950,40
1988-10-08,00:00:00,1.272,40
1988-10-09,00:00:00,0.888,40
1988-10-10,00:00:00,1.072,40
1988-10-11,00:00:00,0.740,40
1988-10-12,00:00:00,0.482,40
1988-10-13,00:00:00,0.484,40
1988-10-14,00:00:00,0.492,40
1988-10-15,00:00:00,0.518,40
1988-10-16,00:00:00,0.425,40
1988-10-17,00:00:00,0.377,40
1988-10-18,00:00:00,0.315,40
1988-10-19,00:00:00,0.248,40
1988-10-20,00:00:00,0.297,40
1988-10-21,00:00:00,0.474,40
1988-10-22,00:00:00,0.534,40
1988-10-23,00:00:00,0.583,40
1988-10-24,00:00:00,0.608,40
1988-10-25,00:00:00,0.467,40
1988-10-26,00:00:00,0.269,40
1988-10-27,00:00:00,0.429,40
1988-10-28,00:00:00,0.686,40
1988-10-29,00:00:00,0.754,40
1988-10-30,00:00:00,0.617,40
1988-10-31,00:00:00,0.489,40
1988-11-01,00:00:00,0.538,40
1988-11-02,00:00:00,0.631,40
1988-11-03,00:00:00,0.307,40
1988-11-04,00:00:00,0.186,40
1988-11-05,00:00:00,0.273,40
1988-11-06,00:00:00,0.512,40
1988-11-07,00:00:00,0.492,40
1988-11-08,00:00:00,0.329,40
1988-11-09,00:00:00,0.197,40
1988-11-10,00:00:00,0.309,40
1988-11-11,00:00:00,0.447,40
1988-11-12,00:00:00,0.576,40
1988-11-13,00:00:00,0.635,40
1988-11-14,00:00:00,0.675,40
1988-11-15,00:00:00,0.479,40
1988-11-16,00:00:00,0.374,40
1988-11-17,00:00:00,0.366,40
1988-11-18,00:00:00,0.547,40
1988-11-19,00:00:00,0.664,40
1988-11-20,00:00:00,0.535,40
1988-11-21,00:00:00,0.511,40
1988-11-22,00:00:00,0.464,40
1988-11-23,00:00:00,0.567,40
1988-11-24,00:00:00,0.531,40
1988-11-25,00:00:00,0.556,40
1988-11-26,00:00:00,0.561,40
1988-11-27,00:00:00,0.573,40
1988-11-28,00:00:00,0.391,40
1988-11-29,00:00:00,0.758,40
1988-11-30,00:00:00,0.619,40
1988-12-01,00:00:00,0.596,40
1988-12-02,00:00:00,0.595,40
1988-12-03,00:00:00,0.604,40
1988-12-04,00:00:00,0.636,40
1988-12-05,00:00:00,1.226,40
1988-12-06,00:00:00,1.187,40
1988-12-07,00:00:00,0.954,40
1988-12-08,00:00:00,0.627,40
1988-12-09,00:00:00,0.783,40
1988-12-10,00:00:00,0.676,40
1988-12-11,00:00:00,0.712,40
1988-12-12,00:00:00,0.895,40
1988-12-13,00:00:00,0.746,40
1988-12-14,00:00:00,0.653,40
1988-12-15,00:00:00,0.462,40
1988-12-16,00:00:00,0.425,40
1988-12-17,00:00:00,0.548,40
1988-12-18,00:00:00,0.459,40
1988-12-19,00:00:00,1.024,40
1988-12-20,00:00:00,0.929,40
1988-12-21,00:00:00,0.553,40
1988-12-22,00:00:00,0.595,40
1988-12-23,00:00:00,0.755,40
1988-12-24,00:00:00,0.839,40
1988-12-25,00:00:00,---,40
1988-12-26,00:00:00,---,255
1988-12-27,00:00:00,---,40
1988-12-28,00:00:00,0.546,40
1988-12-29,00:00:00,0.469,40
1988-12-30,00:00:00,0.386,40
1988-12-31,00:00:00,0.474,40
1989-01-01,00:00:00,0.374,40
1989-01-02,00:00:00,0.358,40
1989-01-03,00:00:00,0.352,40
1989-01-04,00:00:00,0.345,40
1989-01-05,00:00:00,0.578,40
1989-01-06,00:00:00,0.634,40
1989-01-07,00:00:00,0.641,40
1989-01-08,00:00:00,0.654,40
1989-01-09,00:00:00,0.717,40
1989-01-10,00:00:00,0.731,40
1989-01-11,00:00:00,0.638,40
1989-01-12,00:00:00,0.471,40
1989-01-13,00:00:00,0.695,40
1989-01-14,00:00:00,0.492,40
1989-01-15,00:00:00,0.709,40
1989-01-16,00:00:00,0.687,40
1989-01-17,00:00:00,0.671,40
1989-01-18,00:00:00,0.586,40
1989-01-19,00:00:00,0.499,40
1989-01-20,00:00:00,0.486,40
1989-01-21,00:00:00,0.380,40
1989-01-22,00:00:00,0.593,40
1989-01-23,00:00:00,0.459,40
1989-01-24,00:00:00,0.477,40
1989-01-25,00:00:00,0.444,40
1989-01-26,00:00:00,0.420,40
1989-01-27,00:00:00,0.446,40
1989-01-28,00:00:00,0.360,40
1989-01-29,00:00:00,0.519,40
1989-01-30,00:00:00,0.502,40
1989-01-31,00:00:00,0.442,40
1989-02-01,00:00:00,0.321,40
1989-02-02,00:00:00,0.356,40
1989-02-03,00:00:00,0.342,40
1989-02-04,00:00:00,0.349,40
1989-02-05,00:00:00,0.543,40
1989-02-06,00:00:00,0.578,40
1989-02-07,00:00:00,0.504,40
1989-02-08,00:00:00,0.477,40
1989-02-09,00:00:00,0.409,40
1989-02-10,00:00:00,0.347,40
1989-02-11,00:00:00,0.409,40
1989-02-12,00:00:00,0.400,40
1989-02-13,00:00:00,0.533,40
1989-02-14,00:00:00,0.830,40
1989-02-15,00:00:00,0.578,40
1989-02-16,00:00:00,0.731,40
1989-02-17,00:00:00,0.189,40
1989-02-18,00:00:00,0.304,40
1989-02-19,00:00:00,0.620,40
1989-02-20,00:00:00,0.728,40
1989-02-21,00:00:00,0.743,40
1989-02-22,00:00:00,0.479,40
1989-02-23,00:00:00,0.494,40
1989-02-24,00:00:00,0.622,40
1989-02-25,00:00:00,0.578,40
1989-02-26,00:00:00,0.789,40
1989-02-27,00:00:00,1.031,40
1989-02-28,00:00:00,0.999,40
1989-03-01,00:00:00,0.863,40
1989-03-02,00:00:00,0.842,40
1989-03-03,00:00:00,0.596,40
1989-03-04,00:00:00,0.571,40
1989-03-05,00:00:00,0.601,40
1989-03-06,00:00:00,0.445,40
1989-03-07,00:00:00,0.501,40
1989-03-08,00:00:00,0.675,40
1989-03-09,00:00:00,0.502,40
1989-03-10,00:00:00,0.445,40
1989-03-11,00:00:00,0.659,40
1989-03-12,00:00:00,0.630,40
1989-03-13,00:00:00,0.679,40
1989-03-14,00:00:00,0.848,40
1989-03-15,00:00:00,0.561,40
1989-03-16,00:00:00,0.706,40
1989-03-17,00:00:00,0.705,40
1989-03-18,00:00:00,0.629,40
1989-03-19,00:00:00,0.580,40
1989-03-20,00:00:00,0.590,40
1989-03-21,00:00:00,0.835,40
1989-03-22,00:00:00,0.733,40
1989-03-23,00:00:00,0.902,40
1989-03-24,00:00:00,0.757,40
1989-03-25,00:00:00,0.975,40
1989-03-26,00:00:00,0.675,40
1989-03-27,00:00:00,0.482,40
1989-03-28,00:00:00,0.483,40
1989-03-29,00:00:00,0.597,40
1989-03-30,00:00:00,0.427,40
1989-03-31,00:00:00,0.523,40
1989-04-01,00:00:00,0.418,40
1989-04-02,00:00:00,0.271,40
1989-04-03,00:00:00,0.250,40
1989-04-04,00:00:00,0.234,40
1989-04-05,00:00:00,0.202,40
1989-04-06,00:00:00,0.425,40
1989-04-07,00:00:00,0.635,40
1989-04-08,00:00:00,0.624,40
1989-04-09,00:00:00,0.533,40
1989-04-10,00:00:00,0.469,40
1989-04-11,00:00:00,0.463,40
1989-04-12,00:00:00,0.381,40
1989-04-13,00:00:00,0.532,40
1989-04-14,00:00:00,0.674,40
1989-04-15,00:00:00,0.654,40
1989-04-16,00:00:00,0.603,40
1989-04-17,00:00:00,0.563,40
1989-04-18,00:00:00,0.511,40
1989-04-19,00:00:00,0.579,40
1989-04-20,00:00:00,0.484,40
1989-04-21,00:00:00,0.485,40
1989-04-22,00:00:00,0.496,40
1989-04-23,00:00:00,0.476,40
1989-04-24,00:00:00,0.456,40
1989-04-25,00:00:00,0.437,40
1989-04-26,00:00:00,0.506,40
1989-04-27,00:00:00,0.444,40
1989-04-28,00:00:00,0.466,40
1989-04-29,00:00:00,0.727,40
1989-04-30,00:00:00,0.895,40
1989-05-01,00:00:00,0.694,40
1989-05-02,00:00:00,0.635,40
1989-05-03,00:00:00,0.460,40
1989-05-04,00:00:00,0.394,40
1989-05-05,00:00:00,0.374,40
1989-05-06,00:00:00,0.486,40
1989-05-07,00:00:00,0.432,40
1989-05-08,00:00:00,0.420,40
1989-05-09,00:00:00,0.464,40
1989-05-10,00:00:00,0.534,40
1989-05-11,00:00:00,0.424,40
1989-05-12,00:00:00,0.518,40
1989-05-13,00:00:00,0.752,40
1989-05-14,00:00:00,0.685,40
1989-05-15,00:00:00,0.491,40
1989-05-16,00:00:00,0.426,40
1989-05-17,00:00:00,0.459,40
1989-05-18,00:00:00,0.409,40
1989-05-19,00:00:00,0.442,40
1989-05-20,00:00:00,0.422,40
1989-05-21,00:00:00,0.387,40
1989-05-22,00:00:00,0.353,40
1989-05-23,00:00:00,0.332,40
1989-05-24,00:00:00,0.385,40
1989-05-25,00:00:00,0.432,40
1989-05-26,00:00:00,0.503,40
1989-05-27,00:00:00,0.425,40
1989-05-28,00:00:00,0.317,40
1989-05-29,00:00:00,0.381,40
1989-05-30,00:00:00,0.448,40
1989-05-31,00:00:00,0.575,40
1989-06-01,00:00:00,0.502,40
1989-06-02,00:00:00,0.527,40
1989-06-03,00:00:00,0.477,40
1989-06-04,00:00:00,0.561,40
1989-06-05,00:00:00,0.664,40
1989-06-06,00:00:00,0.599,40
1989-06-07,00:00:00,0.593,40
1989-06-08,00:00:00,0.585,40
1989-06-09,00:00:00,0.533,40
1989-06-10,00:00:00,0.431,40
1989-06-11,00:00:00,0.410,40
1989-06-12,00:00:00,0.369,40
1989-06-13,00:00:00,0.311,40
1989-06-14,00:00:00,0.261,40
1989-06-15,00:00:00,0.329,40
1989-06-16,00:00:00,0.349,40
1989-06-17,00:00:00,0.325,40
1989-06-18,00:00:00,0.298,40
1989-06-19,00:00:00,0.260,40
1989-06-20,00:00:00,0.258,40
1989-06-21,00:00:00,0.227,40
1989-06-22,00:00:00,0.208,40
1989-06-23,00:00:00,0.147,40
1989-06-24,00:00:00,0.098,40
1989-06-25,00:00:00,0.051,40
1989-06-26,00:00:00,0.101,40
1989-06-27,00:00:00,0.274,40
1989-06-28,00:00:00,0.606,40
1989-06-29,00:00:00,0.525,40
1989-06-30,00:00:00,0.504,40
1989-07-01,00:00:00,0.432,40
1989-07-02,00:00:00,0.556,40
1989-07-03,00:00:00,0.482,40
1989-07-04,00:00:00,0.376,40
1989-07-05,00:00:00,0.328,40
1989-07-06,00:00:00,0.306,40
1989-07-07,00:00:00,0.341,40
1989-07-08,00:00:00,0.410,40
1989-07-09,00:00:00,0.472,40
1989-07-10,00:00:00,0.476,40
1989-07-11,00:00:00,0.425,40
1989-07-12,00:00:00,0.421,40
1989-07-13,00:00:00,0.486,40
1989-07-14,00:00:00,0.548,40
1989-07-15,00:00:00,0.447,40
1989-07-16,00:00:00,0.527,40
1989-07-17,00:00:00,0.439,40
1989-07-18,00:00:00,0.485,40
1989-07-19,00:00:00,0.452,40
1989-07-20,00:00:00,0.356,40
1989-07-21,00:00:00,0.310,40
1989-07-22,00:00:00,0.304,40
1989-07-23,00:00:00,0.343,40
1989-07-24,00:00:00,0.383,40
1989-07-25,00:00:00,0.384,40
1989-07-26,00:00:00,0.339,40
1989-07-27,00:00:00,0.405,40
1989-07-28,00:00:00,0.377,40
1989-07-29,00:00:00,0.354,40
1989-07-30,00:00:00,0.448,40
1989-07-31,00:00:00,0.722,40
1989-08-01,00:00:00,0.736,40
1989-08-02,00:00:00,0.750,40
1989-08-03,00:00:00,0.557,40
1989-08-04,00:00:00,0.524,40
1989-08-05,00:00:00,0.505,40
1989-08-06,00:00:00,0.476,40
1989-08-07,00:00:00,0.495,40
1989-08-08,00:00:00,0.525,40
1989-08-09,00:00:00,0.492,40
1989-08-10,00:00:00,0.478,40
1989-08-11,00:00:00,0.486,40
1989-08-12,00:00:00,0.650,40
1989-08-13,00:00:00,0.538,40
1989-08-14,00:00:00,0.510,40
1989-08-15,00:00:00,0.500,40
1989-08-16,00:00:00,0.504,40
1989-08-17,00:00:00,0.533,40
1989-08-18,00:00:00,0.519,40
1989-08-19,00:00:00,0.428,40
1989-08-20,00:00:00,0.399,40
1989-08-21,00:00:00,0.456,40
1989-08-22,00:00:00,0.495,40
1989-08-23,00:00:00,0.487,40
1989-08-24,00:00:00,0.437,40
1989-08-25,00:00:00,0.505,40
1989-08-26,00:00:00,0.426,40
1989-08-27,00:00:00,0.488,40
1989-08-28,00:00:00,0.576,40
1989-08-29,00:00:00,0.488,40
1989-08-30,00:00:00,0.399,40
1989-08-31,00:00:00,0.417,40
1989-09-01,00:00:00,0.457,40
1989-09-02,00:00:00,0.447,40
1989-09-03,00:00:00,0.478,40
1989-09-04,00:00:00,0.407,40
1989-09-05,00:00:00,0.374,40
1989-09-06,00:00:00,0.343,40
1989-09-07,00:00:00,0.378,40
1989-09-08,00:00:00,0.361,40
1989-09-09,00:00:00,0.377,40
1989-09-10,00:00:00,0.237,40
1989-09-11,00:00:00,0.177,40
1989-09-12,00:00:00,0.215,40
1989-09-13,00:00:00,0.316,40
1989-09-14,00:00:00,0.498,40
1989-09-15,00:00:00,0.598,40
1989-09-16,00:00:00,0.590,40
1989-09-17,00:00:00,0.661,40
1989-09-18,00:00:00,0.623,40
1989-09-19,00:00:00,0.533,40
1989-09-20,00:00:00,0.548,40
1989-09-21,00:00:00,0.423,40
1989-09-22,00:00:00,0.491,40
1989-09-23,00:00:00,0.471,40
1989-09-24,00:00:00,0.390,40
1989-09-25,00:00:00,0.343,40
1989-09-26,00:00:00,0.441,40
1989-09-27,00:00:00,0.343,40
1989-09-28,00:00:00,0.407,40
1989-09-29,00:00:00,0.356,40
1989-09-30,00:00:00,0.366,40
1989-10-01,00:00:00,0.331,40
1989-10-02,00:00:00,0.384,40
1989-10-03,00:00:00,0.412,40
1989-10-04,00:00:00,0.238,40
1989-10-05,00:00:00,0.120,40
1989-10-06,00:00:00,0.320,40
1989-10-07,00:00:00,0.637,40
1989-10-08,00:00:00,0.654,40
1989-10-09,00:00:00,0.395,40
1989-10-10,00:00:00,0.375,40
1989-10-11,00:00:00,0.459,40
1989-10-12,00:00:00,0.403,40
1989-10-13,00:00:00,0.466,40
1989-10-14,00:00:00,0.603,40
1989-10-15,00:00:00,0.692,40
1989-10-16,00:00:00,0.495,40
1989-10-17,00:00:00,0.464,40
1989-10-18,00:00:00,0.407,40
1989-10-19,00:00:00,0.374,40
1989-10-20,00:00:00,0.370,40
1989-10-21,00:00:00,0.469,40
1989-10-22,00:00:00,0.508,40
1989-10-23,00:00:00,0.568,40
1989-10-24,00:00:00,0.475,40
1989-10-25,00:00:00,0.454,40
1989-10-26,00:00:00,0.534,40
1989-10-27,00:00:00,0.441,40
1989-10-28,00:00:00,0.287,40
1989-10-29,00:00:00,0.288,40
1989-10-30,00:00:00,0.608,40
1989-10-31,00:00:00,0.631,40
1989-11-01,00:00:00,0.496,40
1989-11-02,00:00:00,0.478,40
1989-11-03,00:00:00,0.441,40
1989-11-04,00:00:00,0.563,40
1989-11-05,00:00:00,0.689,40
1989-11-06,00:00:00,0.677,40
1989-11-07,00:00:00,0.575,40
1989-11-08,00:00:00,0.527,40
1989-11-09,00:00:00,0.851,40
1989-11-10,00:00:00,0.670,40
1989-11-11,00:00:00,0.501,40
1989-11-12,00:00:00,0.465,40
1989-11-13,00:00:00,0.478,40
1989-11-14,00:00:00,0.439,40
1989-11-15,00:00:00,---,40
1989-11-16,00:00:00,---,255
1989-11-17,00:00:00,---,255
1989-11-18,00:00:00,0.010,40
1989-11-19,00:00:00,0.179,40
1989-11-20,00:00:00,0.291,40
1989-11-21,00:00:00,---,40
1989-11-22,00:00:00,0.483,40
1989-11-23,00:00:00,0.470,40
1989-11-24,00:00:00,0.551,40
1989-11-25,00:00:00,0.426,40
1989-11-26,00:00:00,0.495,40
1989-11-27,00:00:00,0.613,40
1989-11-28,00:00:00,0.587,40
1989-11-29,00:00:00,0.361,40
1989-11-30,00:00:00,0.254,40
1989-12-01,00:00:00,0.219,40
1989-12-02,00:00:00,0.152,40
1989-12-03,00:00:00,0.168,40
1989-12-04,00:00:00,0.196,40
1989-12-05,00:00:00,0.147,40
1989-12-06,00:00:00,0.174,40
1989-12-07,00:00:00,0.327,40
1989-12-08,00:00:00,0.253,40
1989-12-09,00:00:00,0.289,40
1989-12-10,00:00:00,0.232,40
1989-12-11,00:00:00,0.311,40
1989-12-12,00:00:00,0.343,40
1989-12-13,00:00:00,0.491,40
1989-12-14,00:00:00,0.666,40
1989-12-15,00:00:00,0.795,40
1989-12-16,00:00:00,0.697,40
1989-12-17,00:00:00,0.648,40
1989-12-18,00:00:00,0.717,40
1989-12-19,00:00:00,1.008,40
1989-12-20,00:00:00,0.709,40
1989-12-21,00:00:00,0.741,40
1989-12-22,00:00:00,---,40
1989-12-23,00:00:00,---,255
1989-12-24,00:00:00,---,255
1989-12-25,00:00:00,---,255
1989-12-26,00:00:00,0.743,40
1989-12-27,00:00:00,0.620,40
1989-12-28,00:00:00,0.473,40
1989-12-29,00:00:00,0.285,40
1989-12-30,00:00:00,0.307,40
1989-12-31,00:00:00,0.353,40
1990-01-01,00:00:00,0.341,40
1990-01-02,00:00:00,0.362,40
1990-01-03,00:00:00,0.372,40
1990-01-04,00:00:00,0.350,40
1990-01-05,00:00:00,0.471,40
1990-01-06,00:00:00,0.439,40
1990-01-07,00:00:00,0.446,40
1990-01-08,00:00:00,0.475,40
1990-01-09,00:00:00,0.440,40
1990-01-10,00:00:00,0.481,40
1990-01-11,00:00:00,0.434,40
1990-01-12,00:00:00,0.424,40
1990-01-13,00:00:00,0.489,40
1990-01-14,00:00:00,0.429,40
1990-01-15,00:00:00,0.342,40
1990-01-16,00:00:00,0.567,40
1990-01-17,00:00:00,0.518,40
1990-01-18,00:00:00,0.823,40
1990-01-19,00:00:00,0.498,40
1990-01-20,00:00:00,0.620,40
1990-01-21,00:00:00,0.423,40
1990-01-22,00:00:00,0.281,40
1990-01-23,00:00:00,0.258,40
1990-01-24,00:00:00,0.718,40
1990-01-25,00:00:00,0.822,40
1990-01-26,00:00:00,1.190,40
1990-01-27,00:00:00,1.018,40
1990-01-28,00:00:00,0.810,40
1990-01-29,00:00:00,0.889,40
1990-01-30,00:00:00,0.521,40
1990-01-31,00:00:00,0.403,40
1990-02-01,00:00:00,0.516,40
1990-02-02,00:00:00,0.498,40
1990-02-03,00:00:00,0.610,40
1990-02-04,00:00:00,0.702,40
1990-02-05,00:00:00,0.503,40
1990-02-06,00:00:00,0.587,40
1990-02-07,00:00:00,0.550,40
1990-02-08,00:00:00,0.871,40
1990-02-09,00:00:00,0.928,40
1990-02-10,00:00:00,0.619,40
1990-02-11,00:00:00,0.665,40
1990-02-12,00:00:00,0.848,40
1990-02-13,00:00:00,1.016,40
1990-02-14,00:00:00,1.117,40
1990-02-15,00:00:00,1.196,40
1990-02-16,00:00:00,1.023,40
1990-02-17,00:00:00,0.696,40
1990-02-18,00:00:00,0.790,40
1990-02-19,00:00:00,0.641,40
1990-02-20,00:00:00,0.827,40
1990-02-21,00:00:00,0.652,40
1990-02-22,00:00:00,0.503,40
1990-02-23,00:00:00,0.496,40
1990-02-24,00:00:00,0.449,40
1990-02-25,00:00:00,0.393,40
1990-02-26,00:00:00,0.779,40
1990-02-27,00:00:00,1.564,40
1990-02-28,00:00:00,1.492,40
1990-03-01,00:00:00,1.425,40
1990-03-02,00:00:00,1.232,40
1990-03-03,00:00:00,0.824,40
1990-03-04,00:00:00,0.687,40
1990-03-05,00:00:00,0.722,40
1990-03-06,00:00:00,0.876,40
1990-03-07,00:00:00,0.658,40
1990-03-08,00:00:00,0.581,40
1990-03-09,00:00:00,0.661,40
1990-03-10,00:00:00,0.641,40
1990-03-11,00:00:00,0.444,40
1990-03-12,00:00:00,0.544,40
1990-03-13,00:00:00,0.375,40
1990-03-14,00:00:00,0.285,40
1990-03-15,00:00:00,0.306,40
1990-03-16,00:00:00,0.305,40
1990-03-17,00:00:00,0.340,40
1990-03-18,00:00:00,0.400,40
1990-03-19,00:00:00,0.340,40
1990-03-20,00:00:00,0.521,40
1990-03-21,00:00:00,0.469,40
1990-03-22,00:00:00,0.645,40
1990-03-23,00:00:00,0.541,40
1990-03-24,00:00:00,0.559,40
1990-03-25,00:00:00,0.946,40
1990-03-26,00:00:00,0.775,40
1990-03-27,00:00:00,0.571,40
1990-03-28,00:00:00,0.489,40
1990-03-29,00:00:00,0.500,40
1990-03-30,00:00:00,0.486,40
1990-03-31,00:00:00,0.434,40
1990-04-01,00:00:00,0.363,40
1990-04-02,00:00:00,0.381,40
1990-04-03,00:00:00,0.577,40
1990-04-04,00:00:00,0.688,40
1990-04-05,00:00:00,0.493,40
1990-04-06,00:00:00,0.401,40
1990-04-07,00:00:00,0.335,40
1990-04-08,00:00:00,0.317,40
1990-04-09,00:00:00,0.282,40
1990-04-10,00:00:00,0.397,40
1990-04-11,00:00:00,0.630,40
1990-04-12,00:00:00,0.540,40
1990-04-13,00:00:00,0.507,40
1990-04-14,00:00:00,0.531,40
1990-04-15,00:00:00,0.618,40
1990-04-16,00:00:00,0.722,40
1990-04-17,00:00:00,0.611,40
1990-04-18,00:00:00,0.511,40
1990-04-19,00:00:00,0.327,40
1990-04-20,00:00:00,0.285,40
1990-04-21,00:00:00,0.212,40
1990-04-22,00:00:00,0.324,40
1990-04-23,00:00:00,0.391,40
1990-04-24,00:00:00,0.423,40
1990-04-25,00:00:00,0.462,40
1990-04-26,00:00:00,0.481,40
1990-04-27,00:00:00,0.622,40
1990-04-28,00:00:00,0.515,40
1990-04-29,00:00:00,0.438,40
1990-04-30,00:00:00,0.435,40
1990-05-01,00:00:00,0.335,40
1990-05-02,00:00:00,0.231,40
1990-05-03,00:00:00,0.178,40
1990-05-04,00:00:00,0.184,40
1990-05-05,00:00:00,0.222,40
1990-05-06,00:00:00,0.263,40
1990-05-07,00:00:00,0.337,40
1990-05-08,00:00:00,0.321,40
1990-05-09,00:00:00,0.329,40
1990-05-10,00:00:00,0.356,40
1990-05-11,00:00:00,0.409,40
1990-05-12,00:00:00,0.549,40
1990-05-13,00:00:00,0.573,40
1990-05-14,00:00:00,0.537,40
1990-05-15,00:00:00,0.459,40
1990-05-16,00:00:00,0.436,40
1990-05-17,00:00:00,0.443,40
1990-05-18,00:00:00,0.381,40
1990-05-19,00:00:00,0.213,40
1990-05-20,00:00:00,0.213,40
1990-05-21,00:00:00,0.267,40
1990-05-22,00:00:00,0.300,40
